Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
9/30/2014,Uluru,20.3,37.1,0,NA,NA,SSE,39,ESE,SW,17,19,14,9,1015.8,1012.7,NA,NA,27.7,35.3,No,No
10/1/2014,Uluru,20,32.6,0,NA,NA,E,52,ESE,E,30,28,28,15,1022.1,1016.7,2,NA,23.6,31.9,No,No
10/2/2014,Uluru,18,33.8,0,NA,NA,E,44,E,ENE,30,22,23,10,1020.3,1014.6,NA,NA,22.1,32.7,No,No
10/3/2014,Uluru,15.5,36.5,0,NA,NA,WNW,56,E,NW,24,17,16,10,1015.6,1010.1,NA,NA,23.8,35.6,No,No
10/4/2014,Uluru,23.1,37.4,0,NA,NA,SSE,41,E,SE,4,7,18,12,1014.4,1009.7,NA,6,29.6,37,No,No
10/5/2014,Uluru,19.5,39.2,0,NA,NA,N,48,NE,N,24,28,11,8,1012.7,1007.7,NA,1,30.2,37.6,No,No
10/6/2014,Uluru,19.9,38.3,0,NA,NA,S,50,NW,SW,33,22,12,8,1009.7,1008.4,1,NA,32.2,36.3,No,No
10/7/2014,Uluru,15.5,30.3,0,NA,NA,ESE,48,ESE,E,31,26,28,16,1018.1,1014.4,NA,NA,21.4,28.8,No,No
10/8/2014,Uluru,15.1,33.2,0,NA,NA,E,50,E,ENE,33,11,21,11,1019.1,1014,NA,NA,21.7,31.7,No,No
10/9/2014,Uluru,13.8,37.2,0,NA,NA,SW,35,E,SSE,20,7,13,7,1016.7,1011,NA,NA,25,35.4,No,No
10/10/2014,Uluru,16.4,34.1,0,NA,NA,S,43,S,SSW,24,13,27,8,1014.7,1010.2,NA,NA,23.5,32.8,No,No
10/11/2014,Uluru,12.1,31.7,0,NA,NA,SE,30,ESE,NE,17,9,30,13,1016.2,1010.4,NA,NA,21.6,30.4,No,No
10/12/2014,Uluru,11.9,33.9,0,NA,NA,SSW,37,ESE,ESE,19,11,12,6,1013.4,1009.4,NA,NA,25.7,31.6,No,No
10/13/2014,Uluru,12.9,30.7,0,NA,NA,SE,48,SE,SE,22,17,30,16,1017.3,1015.8,NA,2,21.8,30.2,No,No
10/14/2014,Uluru,15.6,27.9,0,NA,NA,E,48,E,E,30,17,22,8,1023.5,1018.7,4,NA,18.2,26.1,No,No
10/15/2014,Uluru,10,29.4,0,NA,NA,ENE,41,E,E,26,7,17,8,1022,1017.3,NA,NA,19.7,27.8,No,No
10/16/2014,Uluru,8.4,32.6,0,NA,NA,NE,39,ENE,ESE,20,15,10,6,1020.7,1015.3,NA,NA,21.6,30.4,No,No
10/17/2014,Uluru,9.7,33,0,NA,NA,E,39,NE,NE,26,15,9,5,1020.2,1015.1,NA,NA,23.2,31.1,No,No
10/18/2014,Uluru,10.8,35.2,0,NA,NA,NE,43,ENE,ENE,13,17,8,4,1018.9,1013.9,NA,NA,25.2,34.6,No,No
10/19/2014,Uluru,9,37.4,0,NA,NA,NNW,48,NNE,N,15,17,6,3,1017.1,1012.9,NA,NA,27.3,35.7,No,No
10/20/2014,Uluru,11.5,39.2,0,NA,NA,NNE,52,ENE,NNW,11,19,5,3,1016.6,1012.2,NA,NA,29.1,37.8,No,No
10/21/2014,Uluru,15.2,39.4,0,NA,NA,NNW,44,N,W,28,22,9,7,1016.3,1013.3,NA,NA,32.8,38.4,No,No
10/22/2014,Uluru,22.1,39.7,0,NA,NA,SE,48,ESE,S,20,11,16,7,1016.7,1012.1,NA,NA,30.4,39,No,No
10/23/2014,Uluru,18.9,39.5,0,NA,NA,N,41,NNE,NNW,26,20,11,7,1014.6,1011.2,NA,NA,33,38.5,No,No
10/24/2014,Uluru,21.8,40.8,0,NA,NA,ESE,43,ESE,NW,13,20,15,8,1014.7,1010.9,NA,6,32.6,38.6,No,No
10/25/2014,Uluru,21.3,40.1,0,NA,NA,WNW,50,N,NNW,15,15,13,9,1016.3,1011.6,NA,6,33.4,38.6,No,No
10/26/2014,Uluru,24.3,40.7,0,NA,NA,NW,44,W,NNW,24,22,11,8,1014.8,1009.8,8,1,33.1,39.2,No,No
10/27/2014,Uluru,21.8,31,0,NA,NA,SSE,48,SE,E,24,17,35,20,1016.9,1014.4,6,NA,23.1,30.4,No,No
10/28/2014,Uluru,19.7,35.1,0,NA,NA,E,48,E,E,31,19,20,13,1017,1013.4,NA,NA,26.5,33.4,No,No
10/29/2014,Uluru,20,38.1,0,NA,NA,ENE,39,ENE,SW,22,9,14,9,1015.7,1010.9,NA,5,29.3,36.7,No,No
10/30/2014,Uluru,26.4,33.9,0,NA,NA,S,61,SSE,ENE,24,24,20,22,1014.1,1009.7,5,3,29.4,32.2,No,No
10/31/2014,Uluru,20.8,36.9,0,NA,NA,WSW,78,NE,NW,20,26,43,19,1009.7,1006.9,8,4,25.5,35.2,No,No
11/1/2014,Uluru,17.2,31.6,0.2,NA,NA,SE,50,SSE,ESE,22,20,57,31,1015.8,1011.3,NA,NA,20.4,30.3,No,No
11/2/2014,Uluru,18.2,33.2,0,NA,NA,E,46,E,ENE,28,17,27,19,1017.5,1013.2,NA,NA,24.7,31.4,No,No
11/3/2014,Uluru,18.1,38.9,0,NA,NA,WSW,85,NE,NNW,15,9,19,13,1015.7,1010.2,NA,2,27.4,38.4,No,No
11/4/2014,Uluru,18.3,37.3,0.8,NA,NA,SE,50,NA,S,0,15,55,15,1016.7,1012.2,NA,NA,24.8,36.3,No,No
11/5/2014,Uluru,20.7,36.9,0,NA,NA,E,41,E,WSW,24,15,22,10,1018.3,1012.9,NA,NA,28.7,36.4,No,No
11/6/2014,Uluru,19.3,39.2,0,NA,NA,N,41,ENE,NNW,28,13,17,9,1015,1008.6,NA,NA,28.7,38.5,No,No
11/7/2014,Uluru,18.2,41.5,0,NA,NA,NNW,48,N,WNW,17,22,12,9,1011.1,1007.5,NA,NA,32.7,39.8,No,No
11/8/2014,Uluru,25.6,38.2,0,NA,NA,SW,43,SSE,SSE,26,17,30,17,1015.2,1012,NA,3,30.2,36.2,No,No
11/9/2014,Uluru,24.6,34.9,0,NA,NA,S,48,ESE,ENE,22,30,30,20,1017.6,1015,3,6,26.5,33,No,No
11/10/2014,Uluru,20.7,37.9,0,NA,NA,E,48,E,E,28,22,11,9,1017.2,1012.7,NA,NA,29,37.2,No,No
11/11/2014,Uluru,23,39.8,0,NA,NA,E,44,ENE,ESE,30,11,9,7,1014.3,1009.4,NA,NA,29.6,39.3,No,No
11/12/2014,Uluru,19.6,41.5,0,NA,NA,ENE,41,E,ESE,24,13,6,5,1012,1006.4,NA,NA,31.3,40.7,No,No
11/13/2014,Uluru,23.4,43,0,NA,NA,NW,85,NNE,NW,19,33,6,9,1007.2,1002.4,NA,1,35.6,41.5,No,Yes
11/14/2014,Uluru,20.9,23.5,2.8,NA,NA,SSW,44,WNW,NA,11,0,84,81,1012.7,1013,8,7,22.2,22.5,Yes,Yes
11/15/2014,Uluru,18.8,27.7,3.2,NA,NA,SSW,37,S,SSE,22,15,60,43,1015.8,1013.8,7,7,19.3,25.6,Yes,No
11/16/2014,Uluru,16.2,26.6,0.2,NA,NA,E,35,E,ENE,22,13,45,34,1017.1,1014.3,8,8,20.5,25.9,No,No
11/17/2014,Uluru,16.5,33.5,0,NA,NA,NNE,39,E,SE,20,15,30,15,1016.4,1012,1,2,24.9,32.2,No,No
11/18/2014,Uluru,17.6,36.2,0.4,NA,NA,ENE,31,E,N,19,15,44,25,1016.5,1012,NA,NA,24.9,33.2,No,No
11/19/2014,Uluru,20,40,0,NA,NA,SSW,56,ENE,ENE,13,7,24,15,1014.7,1008.5,NA,8,30,37.4,No,No
11/20/2014,Uluru,24.2,39,0,NA,NA,SSW,52,ESE,N,15,13,46,22,1012.1,1007,NA,1,28.5,36.6,No,No
11/21/2014,Uluru,21.4,42.4,0,NA,NA,WNW,54,NNE,WNW,13,30,40,12,1009.6,1004.5,NA,1,31.3,40.5,No,No
11/22/2014,Uluru,21.2,42.1,0,NA,NA,W,76,NNW,WNW,37,22,28,14,1009.1,1004.7,1,3,33.3,39.5,No,Yes
11/23/2014,Uluru,20.4,40.1,1.2,NA,NA,WNW,54,N,SW,13,28,39,14,1009.4,1006.1,NA,8,30.9,39.1,Yes,No
11/24/2014,Uluru,23,38.7,0,NA,NA,SSE,41,N,SSE,11,28,25,16,1011.4,1008.8,NA,NA,32,38,No,No
11/25/2014,Uluru,23.9,35.3,0,NA,NA,E,46,ESE,ENE,30,20,24,20,1015.8,1012.1,1,NA,27.2,32.9,No,No
11/26/2014,Uluru,19.5,36.2,0,NA,NA,E,44,E,ESE,30,24,21,11,1015.2,1010.8,NA,NA,27.6,34.9,No,No
11/27/2014,Uluru,18.3,37.4,0,NA,NA,ENE,43,ENE,ENE,26,9,9,10,1014.6,1010.4,NA,2,29.7,35.7,No,No
11/28/2014,Uluru,20.5,37.7,0,NA,NA,WNW,37,E,N,24,11,13,11,1013.4,1008.1,NA,NA,29.1,36.7,No,No
11/29/2014,Uluru,23.9,41,0,NA,NA,SSW,50,NE,WSW,20,13,8,12,1007.7,1002.9,NA,2,34,39.3,No,No
11/30/2014,Uluru,21.4,41.2,0.6,NA,NA,S,52,ESE,NNW,9,19,22,12,1005.9,1001.2,4,4,34.2,39.8,No,No
12/1/2014,Uluru,22.6,40.1,0,NA,NA,WSW,65,NE,N,19,20,29,13,1007.3,1001.6,NA,NA,31.9,38.7,No,No
12/2/2014,Uluru,24.4,41.8,0,NA,NA,NNW,52,NNE,NW,15,26,33,17,1004.3,1000.2,2,1,30.9,40.2,No,No
12/3/2014,Uluru,23.2,43.3,0,NA,NA,NNW,41,E,W,17,22,46,13,1007.3,1002.6,NA,5,30.6,40.7,No,No
12/4/2014,Uluru,25.9,42.1,0,NA,NA,E,50,ENE,SSW,13,13,42,17,1010.3,1005.6,NA,4,31.3,40.2,No,No
12/5/2014,Uluru,26.2,43.3,0,NA,NA,E,70,NNE,NNW,19,26,32,19,1007.9,1002.1,NA,NA,34.7,39.9,No,No
12/6/2014,Uluru,24.8,42.6,0,NA,NA,SSE,56,NE,NW,33,20,18,17,1006,999.2,NA,4,32.8,42.3,No,Yes
12/7/2014,Uluru,22,41.8,5.8,NA,NA,WSW,61,E,WSW,11,31,56,14,1002.5,998.3,NA,1,28.1,40.2,Yes,No
12/8/2014,Uluru,25,42.3,0,NA,NA,WNW,44,E,SW,15,22,39,12,1005.2,1002.3,NA,NA,29.7,40.2,No,No
12/9/2014,Uluru,26,43.8,0,NA,NA,SSW,69,NW,NW,19,24,31,14,1007.4,1004.1,NA,NA,33.1,42.2,No,No
12/10/2014,Uluru,25,39.7,0.2,NA,NA,SSW,91,NNE,NW,22,17,45,25,1008.8,1005.2,8,8,30.1,37.9,No,Yes
12/11/2014,Uluru,20.2,37.7,18.4,NA,NA,S,39,SSW,S,24,20,50,25,1010.4,1007,NA,NA,25.7,35.2,Yes,No
12/12/2014,Uluru,18.6,38.7,0.2,NA,NA,E,41,ESE,SW,26,20,28,8,1011.7,1007,NA,NA,29.2,36.8,No,No
12/13/2014,Uluru,18.4,41.4,0,NA,NA,SSE,46,NE,SSW,22,15,18,7,1010,1005.1,NA,NA,31.2,39.7,No,No
12/14/2014,Uluru,21.4,44,0,NA,NA,NNW,41,N,W,17,20,13,7,1007.8,1003,1,1,33.8,42.6,No,No
12/15/2014,Uluru,27.3,42.9,0,NA,NA,SSW,87,S,W,9,17,23,14,1006.1,1001.9,1,1,34.6,39.7,No,No
12/16/2014,Uluru,24.4,41.3,0,NA,NA,W,59,N,S,20,11,52,19,1007,1003,NA,NA,28.1,39.2,No,Yes
12/17/2014,Uluru,23.2,38.7,1.6,NA,NA,S,74,WNW,NW,17,26,60,23,1008.1,1003.2,1,NA,28.4,37.1,Yes,Yes
12/18/2014,Uluru,20.1,35.2,12.8,NA,NA,SSE,54,N,SSE,11,7,76,41,1010.3,1008.6,1,5,24.1,33.7,Yes,No
12/19/2014,Uluru,22.7,37.7,0,NA,NA,SE,35,ESE,W,20,6,36,23,1013.7,1010.5,NA,NA,29.2,36.4,No,No
12/20/2014,Uluru,26.3,39.3,0,NA,NA,WSW,52,ENE,NNW,17,22,27,18,1011.5,1006.1,3,7,32.2,39,No,Yes
12/21/2014,Uluru,22.1,37.1,3.8,NA,NA,WNW,52,SSW,NW,4,24,75,35,1009.2,1005.6,7,8,25.5,33.9,Yes,Yes
12/22/2014,Uluru,21.2,37.9,1.8,NA,NA,SSW,69,ENE,SW,11,28,58,27,1007.5,1003.9,NA,8,27.1,36.7,Yes,No
12/23/2014,Uluru,23.8,33.9,1,NA,NA,ESE,46,SE,SE,22,17,53,37,1011.6,1008.5,8,8,26.3,32.6,No,Yes
12/24/2014,Uluru,21.8,32.3,2,NA,NA,NE,41,ESE,ENE,24,22,33,30,1012.1,1009.1,8,NA,26.6,30.9,Yes,No
12/25/2014,Uluru,18.6,34.9,0,NA,NA,SSE,44,SE,SSE,20,30,40,17,1011.8,1007.8,NA,1,26.5,33.5,No,No
12/26/2014,Uluru,18,32.1,0,NA,NA,SE,44,ESE,SSE,28,26,27,20,1013,1009.3,NA,NA,24.2,30.2,No,No
12/27/2014,Uluru,16.9,33.2,0,NA,NA,SSE,43,ESE,SSE,24,26,22,13,1014.1,1009.8,NA,NA,23.7,31.8,No,No
12/28/2014,Uluru,15.1,36.8,0,NA,NA,NE,31,ENE,SW,19,20,16,8,1012.6,1007.6,NA,NA,28.9,34.8,No,No
12/29/2014,Uluru,17.3,37.8,0,NA,NA,ESE,39,ESE,SSE,26,9,15,8,1011.9,1008,NA,NA,29.7,35.7,No,No
12/30/2014,Uluru,20.1,38.5,0,NA,NA,ESE,43,ESE,SSW,28,17,22,9,1014,1009.2,NA,NA,29.8,37.2,No,No
12/31/2014,Uluru,22.5,39.6,0,NA,NA,WNW,76,ENE,SSW,30,13,16,9,1012.1,1006.2,NA,NA,30.1,37.4,No,No
1/1/2015,Uluru,22.6,42,0,NA,NA,SSW,61,NW,N,30,11,21,12,1007.8,1002.3,7,NA,33.1,39.3,No,Yes
1/2/2015,Uluru,21.6,42.4,2.2,NA,NA,N,41,NNW,ENE,17,20,23,10,1006.6,1002.7,NA,6,33.6,40.3,Yes,No
1/3/2015,Uluru,23.5,39.8,0,NA,NA,SSE,52,NNW,NW,24,11,23,16,1008.1,1003.9,NA,8,32.9,38.6,No,No
1/4/2015,Uluru,27.3,36.1,0,NA,NA,E,41,SE,ESE,24,26,26,20,1008.4,1005.6,NA,NA,30.9,35,No,No
1/5/2015,Uluru,26.1,38.8,0,NA,NA,E,65,E,ESE,28,30,36,28,1007.2,1003.9,NA,NA,32.2,37,No,No
1/6/2015,Uluru,26.5,34.5,0,NA,NA,ESE,54,E,E,31,33,51,33,1006.9,1003,NA,8,29.5,33.9,No,No
1/7/2015,Uluru,24.1,28.5,0.4,NA,NA,E,41,ESE,SE,26,19,79,74,1004.8,1002.2,8,8,24.9,26.8,No,Yes
1/8/2015,Uluru,22.4,25.7,1.8,NA,NA,ENE,35,E,SSE,17,11,86,90,1003.1,1000.1,8,8,24.4,24.9,Yes,Yes
1/9/2015,Uluru,22.5,27.1,7.2,NA,NA,S,48,S,SSE,19,19,85,97,999.2,997.4,7,6,24.6,22.8,Yes,Yes
1/10/2015,Uluru,16,20.8,8.6,NA,NA,S,50,S,S,28,22,89,76,1001.8,1002,8,8,16.4,20.1,Yes,Yes
1/11/2015,Uluru,15.9,27.3,6,NA,NA,S,35,S,SE,22,19,80,52,1006.9,1004.1,8,8,19.1,26.3,Yes,No
1/12/2015,Uluru,18,34.6,0,NA,NA,SW,39,E,SW,2,17,64,32,1006.7,1003.1,NA,1,24.6,33.2,No,No
1/13/2015,Uluru,22.2,36.7,0,NA,NA,SSW,35,SE,WNW,17,20,43,26,1008.6,1005.1,1,NA,27.9,35.1,No,No
1/14/2015,Uluru,19.8,36.4,0,NA,NA,SSE,41,ESE,SSE,26,13,29,16,1010.3,1006.6,NA,NA,27.9,34.8,No,No
1/15/2015,Uluru,19.7,36.5,0,NA,NA,SE,44,E,ESE,20,20,29,14,1010.6,1006.3,NA,NA,28.4,35.2,No,No
1/16/2015,Uluru,19.9,39.3,0,NA,NA,E,48,ENE,E,24,24,24,9,1010.4,1007,NA,NA,29.7,37.4,No,No
1/17/2015,Uluru,20,40.3,0,NA,NA,NE,39,SSE,ENE,19,15,17,10,1010.9,1007.6,NA,NA,32.6,38.3,No,No
1/18/2015,Uluru,21,40.4,0,NA,NA,NE,39,E,NNE,13,11,23,10,1011.7,1008.1,NA,NA,32,39.2,No,No
1/19/2015,Uluru,21.2,41.8,0,NA,NA,NNW,44,NW,NW,26,17,45,14,1009.8,1005.4,NA,1,31.6,41.4,No,No
1/20/2015,Uluru,28.6,43.7,0,NA,NA,WSW,48,WSW,SSW,31,26,27,8,1007.2,1005.3,NA,NA,36.4,42.2,No,No
1/21/2015,Uluru,24.1,40.5,0,NA,NA,SW,52,S,SSW,22,26,33,16,1009.8,1006.1,NA,NA,29.7,39.2,No,No
1/22/2015,Uluru,21.1,39.6,0,NA,NA,SSE,39,E,SE,19,13,22,12,1008.5,1003.8,NA,NA,27.6,37.1,No,No
1/23/2015,Uluru,21,41.5,0,NA,NA,E,39,NE,S,15,9,23,11,1007.1,1002.9,NA,NA,32.6,39.7,No,No
1/24/2015,Uluru,23.4,41.9,0,NA,NA,WNW,48,E,W,24,19,22,13,1005.8,1002.7,2,4,33.7,39.5,No,No
1/25/2015,Uluru,25.2,39.1,0,NA,NA,E,50,E,SE,35,11,15,15,1009.1,1006,NA,4,30.4,37.6,No,No
1/26/2015,Uluru,25.2,37.2,0,NA,NA,E,43,E,E,30,20,24,19,1010.7,1006.2,1,1,28.4,34.6,No,No
1/27/2015,Uluru,23.8,33,0,NA,NA,NE,43,E,ENE,28,24,19,21,1010.2,1007.1,3,8,28.4,31.4,No,No
1/28/2015,Uluru,19.2,35.4,0,NA,NA,E,46,E,E,30,15,22,11,1009.7,1005.9,NA,NA,27.2,34,No,No
1/29/2015,Uluru,15.5,35.5,0,NA,NA,E,44,ENE,SE,22,9,21,9,1010,1006.6,NA,NA,26.8,34.1,No,No
1/30/2015,Uluru,14.4,37.9,0,NA,NA,SSE,48,ENE,SW,13,13,17,8,1009.7,1005.6,NA,NA,28.7,36.5,No,No
1/31/2015,Uluru,20.2,40.5,0,NA,NA,SW,41,E,SE,6,15,17,9,1008.3,1005.1,7,1,29.9,38.7,No,No
2/1/2015,Uluru,22.9,40.9,0,NA,NA,SE,41,ESE,SSE,13,17,16,9,1009.7,1006.6,NA,6,32.1,39.1,No,No
2/2/2015,Uluru,23.7,36.8,0,NA,NA,E,56,E,E,35,22,17,12,1015,1011.8,NA,NA,27.4,34.4,No,No
2/3/2015,Uluru,17.9,35.1,0,NA,NA,ENE,50,E,SE,31,20,17,7,1016.2,1012.3,NA,NA,26.4,33.2,No,No
2/4/2015,Uluru,18.2,36.3,0,NA,NA,ESE,57,E,E,20,13,21,11,1014.8,1010.7,NA,NA,28.3,35.1,No,No
2/5/2015,Uluru,18.3,37.1,0,NA,NA,E,44,ENE,ESE,15,19,19,9,1012.8,1009.4,NA,NA,28.9,35.9,No,No
2/6/2015,Uluru,18.4,39.3,0,NA,NA,SE,43,NE,N,26,11,19,9,1013.7,1009.8,NA,NA,30.7,38.1,No,No
2/7/2015,Uluru,19.7,41.3,0,NA,NA,E,33,NE,E,15,19,23,10,1014.6,1011.3,NA,5,32,39.5,No,No
2/8/2015,Uluru,21.8,42.4,0,NA,NA,ESE,46,E,ESE,15,13,22,11,1015.9,1012.4,NA,5,33.8,40.4,No,No
2/9/2015,Uluru,24,42.2,0,NA,NA,ENE,57,ENE,ENE,20,30,18,10,1017.4,1012.7,NA,NA,33.8,40.5,No,No
2/10/2015,Uluru,22.1,42.7,0,NA,NA,E,65,E,ENE,13,31,16,9,1015.7,1011.5,NA,3,33.7,41.7,No,No
2/11/2015,Uluru,22.8,42.6,0,NA,NA,SE,44,ESE,S,15,33,15,9,1013.8,1008.8,NA,4,34,40.8,No,No
2/12/2015,Uluru,23.3,41.1,0,NA,NA,E,48,E,SSE,19,13,10,6,1013.8,1008.6,NA,NA,32.5,39.4,No,No
2/13/2015,Uluru,24.5,41.6,0,NA,NA,ENE,46,NNE,E,13,17,18,9,1012.2,1008.2,NA,1,33.7,39.5,No,No
2/14/2015,Uluru,26.6,41.8,0,NA,NA,ENE,43,ENE,ENE,28,17,17,10,1012.7,1008.3,NA,NA,34.5,40.3,No,No
2/15/2015,Uluru,23.5,42.4,0,NA,NA,ENE,48,ENE,ESE,24,24,19,10,1011.2,1008,NA,NA,34.5,40.3,No,No
2/16/2015,Uluru,24.5,42.1,0,NA,NA,NE,57,ESE,E,20,19,20,11,1012.5,1008.2,NA,NA,34.4,40.7,No,No
2/17/2015,Uluru,25.9,39.2,0,NA,NA,SE,44,ESE,E,24,6,28,17,1012.8,1009.3,7,4,30.6,37.5,No,No
2/18/2015,Uluru,25.1,39.6,0,NA,NA,SE,52,SSE,SSE,11,7,34,15,1012.6,1007,8,NA,30.6,38,No,No
2/19/2015,Uluru,25.6,39.4,0,NA,NA,ENE,43,ENE,WSW,24,11,14,10,1010.2,1006.1,8,NA,31.1,38.4,No,No
2/20/2015,Uluru,23.6,40.7,0,NA,NA,ENE,44,ENE,ESE,31,17,21,10,1007.9,1004,NA,1,31.3,38.2,No,No
2/21/2015,Uluru,24,39.6,0,NA,NA,ENE,50,ENE,ENE,35,20,26,13,1006.9,1003.1,NA,1,31.1,38.5,No,No
2/22/2015,Uluru,24.4,33.6,0,NA,NA,SSE,50,E,S,13,19,26,40,1007.3,1006.3,8,7,29.4,30.9,No,Yes
2/23/2015,Uluru,20.5,35.9,5,NA,NA,SSE,52,SE,SE,9,20,71,29,1012.9,1009.1,7,8,23.4,33.9,Yes,No
2/24/2015,Uluru,20.9,37,0.2,NA,NA,E,46,SE,E,15,22,38,20,1014.7,1009.9,2,1,26.6,35.5,No,No
2/25/2015,Uluru,21.2,39.1,0,NA,NA,E,39,E,ENE,26,13,23,20,1012.4,1007.2,NA,NA,29.1,36.8,No,No
2/26/2015,Uluru,24.2,41.9,0,NA,NA,SE,41,E,NNW,19,7,19,16,1008.8,1003.6,6,3,32.6,40.2,No,No
2/27/2015,Uluru,24.9,42.2,0,NA,NA,SW,48,ENE,N,20,20,20,19,1005.9,1001.5,7,2,33.4,40.2,No,No
2/28/2015,Uluru,26.6,40.6,0.2,NA,NA,SW,46,SSE,SSW,2,24,28,26,1004.9,1003,NA,1,33.7,39.5,No,No
3/1/2015,Uluru,25.6,37,0.2,NA,NA,ESE,54,ESE,E,26,26,49,25,1009.1,1006.6,8,8,27.5,35.2,No,No
3/2/2015,Uluru,27.5,40.3,0,NA,NA,E,39,E,NNW,28,11,28,16,1008.5,1004.5,7,8,29.7,38.6,No,No
3/3/2015,Uluru,26.9,42.5,0,NA,NA,E,56,ESE,ENE,20,20,21,12,1009.7,1006.6,NA,NA,32.7,41.8,No,No
3/4/2015,Uluru,25.6,41.2,0,NA,NA,E,52,ESE,ENE,24,22,18,12,1013.5,1009.1,NA,NA,31,39.8,No,No
3/5/2015,Uluru,25,37.2,0,NA,NA,SE,50,ESE,E,28,24,34,17,1017,1012.3,NA,NA,27,34.9,No,No
3/6/2015,Uluru,23,33.3,0,NA,NA,E,41,E,SE,28,20,31,19,1015.4,1010.9,8,5,24.7,31.3,No,No
3/7/2015,Uluru,22.4,32.4,0,NA,NA,E,37,ESE,ESE,19,11,18,11,1013.3,1010,NA,8,25,30.5,No,No
3/8/2015,Uluru,18.5,35.1,0,NA,NA,ENE,31,ESE,SW,15,11,31,13,1013.9,1009.6,7,4,24,33.1,No,No
3/9/2015,Uluru,21.6,35.6,0,NA,NA,ENE,41,E,ENE,26,7,27,16,1013,1009.1,8,8,26.6,33.8,No,No
3/10/2015,Uluru,23.2,35.4,0,NA,NA,E,43,E,SSW,31,9,25,16,1013.8,1009.6,1,4,26.5,34,No,No
3/11/2015,Uluru,20.5,37.3,0,NA,NA,E,44,E,SW,24,11,23,14,1014.2,1010.6,NA,NA,28.3,36.1,No,No
